/home/plohigorry/.conda/envs/tesis/lib/python3.6/site-packages/pyart/config.py:22: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
ID, DATE , NFILES
87585 , 2000012500 , 0
87553 , 2000040712 , 0
87585 , 2000051612 , 0
87571 , 2000051612 , 0
87571 , 2000122706 , 0
87585 , 2001012500 , 0
87571 , 2002041618 , 0
87585 , 2003021012 , 0
87582 , 2003021112 , 0
87585 , 2003021200 , 0
87569 , 2003021200 , 0
87553 , 2003031018 , 0
87571 , 2003031018 , 0
87569 , 2003111112 , 0
87593 , 2003111112 , 0
87553 , 2004013106 , 0
87569 , 2004013112 , 0
87582 , 2004013112 , 0
87553 , 2005013112 , 0
87593 , 2006011512 , 0
87576 , 2006011512 , 0
87585 , 2006022306 , 0
87553 , 2006022412 , 0
87593 , 2006022412 , 0
87571 , 2006030312 , 0
87553 , 2006121706 , 0
87582 , 2006121706 , 0
87585 , 2006121706 , 0
87593 , 2007030118 , 0
87574 , 2007030118 , 0
87576 , 2007030118 , 0
87571 , 2007030118 , 0
87585 , 2007030118 , 0
87585 , 2007032606 , 0
87576 , 2008011606 , 0
87576 , 2008022818 , 0
87576 , 2008022812 , 0
87582 , 2008030300 , 0
87571 , 2009072118 , 0
87574 , 2009072118 , 0
87585 , 2009072118 , 0
87553 , 2009100512 , 0
87571 , 2009101106 , 0
87569 , 2009111400 , 0
87576 , 2009122412 , 0
87585 , 2010021606 , 0
87571 , 2010022000 , 0
87576 , 2010022000 , 0
87585 , 2010022000 , 0
87582 , 2010022000 , 0
87576 , 2010052400 , 0
87571 , 2010052400 , 0
87553 , 2010052400 , 0
87582 , 2010052400 , 0
87571 , 2011021818 , 0
87582 , 2011022012 , 0
87585 , 2011022012 , 0
87582 , 2012020200 , 25
87585 , 2012020200 , 25
87582 , 2012020300 , 0
87582 , 2012102912 , 117
87576 , 2012102912 , 117
87585 , 2012102912 , 117
87553 , 2012102912 , 117
87585 , 2012110918 , 131
87569 , 2012110918 , 131
